ds,y
2018-07-1,53
2018-07-2,57
2018-07-3,72
2018-07-4,63
2018-07-5,68
2018-07-6,72
2018-07-7,63
2018-07-8,55
2018-07-9,91
2018-07-10,84
2018-07-11,66
2018-07-12,82
2018-07-13,59
2018-07-14,74
2018-07-15,63
2018-07-16,117
2018-07-17,46
2018-07-18,42
2018-07-19,25
2018-07-20,13
2018-07-21,13
2018-07-22,25
2018-07-23,38
2018-07-24,13
2018-07-25,33
2018-07-26,61
2018-07-27,72
2018-07-28,55
2018-07-29,61
2018-07-30,89
2018-07-31,50
2018-08-1,66
2018-08-2,53
2018-08-3,93
2018-08-4,70
2018-08-5,63
2018-08-6,78
2018-08-7,61
2018-08-8,55
2018-08-9,50
2018-08-10,99
2018-08-11,152
2018-08-12,21
2018-08-13,21
2018-08-14,13
2018-08-15,50
2018-08-16,29
2018-08-17,53
2018-08-18,53
2018-08-19,50
2018-08-20,50
2018-08-21,50
2018-08-22,46
2018-08-23,50
2018-08-24,50
2018-08-25,50
2018-08-26,50
2018-08-27,50
2018-08-28,50
2018-08-29,50
2018-08-30,50
2018-08-31,53
2018-09-1,50
2018-09-2,50
2018-09-3,50
2018-09-4,156
2018-09-5,42
2018-09-6,110
2018-09-7,72
2018-09-8,50
2018-09-9,50
2018-09-10,50
2018-09-11,50
2018-09-12,50
2018-09-13,107
2018-09-14,38
2018-09-15,53
2018-09-16,59
2018-09-17,50
2018-09-18,42
2018-09-19,38
2018-09-20,70
2018-09-21,70
2018-09-22,59
2018-09-23,66
2018-09-24,55
2018-09-25,74
2018-09-26,66
2018-09-27,63
2018-09-28,59
2018-09-29,50
2018-09-30,132
