ds,y
2018-07-1,53
2018-07-2,53
2018-07-3,63
2018-07-4,55
2018-07-5,55
2018-07-6,55
2018-07-7,53
2018-07-8,48
2018-07-9,42
2018-07-10,42
2018-07-11,61
2018-07-12,59
2018-07-13,55
2018-07-14,63
2018-07-15,63
2018-07-16,55
2018-07-17,61
2018-07-18,78
2018-07-19,91
2018-07-20,59
2018-07-21,57
2018-07-22,72
2018-07-23,57
2018-07-24,59
2018-07-25,61
2018-07-26,59
2018-07-27,55
2018-07-28,55
2018-07-29,53
2018-07-30,59
2018-07-31,59
2018-08-1,57
2018-08-2,57
2018-08-3,61
2018-08-4,46
2018-08-5,38
2018-08-6,46
2018-08-7,53
2018-08-8,53
2018-08-9,46
2018-08-10,50
2018-08-11,50
2018-08-12,42
2018-08-13,53
2018-08-14,55
2018-08-15,82
2018-08-16,82
2018-08-17,74
2018-08-18,76
2018-08-19,74
2018-08-20,82
2018-08-21,89
2018-08-22,80
2018-08-23,74
2018-08-24,66
2018-08-25,78
2018-08-26,76
2018-08-27,82
2018-08-28,89
2018-08-29,84
2018-08-30,80
2018-08-31,80
2018-09-1,84
2018-09-2,84
2018-09-3,82
2018-09-4,74
2018-09-5,72
2018-09-6,80
2018-09-7,80
2018-09-8,80
2018-09-9,76
2018-09-10,72
2018-09-11,82
2018-09-12,72
2018-09-13,66
2018-09-14,76
2018-09-15,72
2018-09-16,78
2018-09-17,70
2018-09-18,80
2018-09-19,63
2018-09-20,80
2018-09-21,117
2018-09-22,91
2018-09-23,102
2018-09-24,95
2018-09-25,97
2018-09-26,93
2018-09-27,107
2018-09-28,124
2018-09-29,124
2018-09-30,151
